PSRJ lambda beta
J1718-3825 -98.4661 -15.2888
J1718-41 -98.2596 -17.9765
J1718-4539 -97.8877 -22.5009
J1719-1438 -99.983 8.4526
J1719-2330 -99.2542 -0.3885
J1719-3458 -98.5256 -11.835
J1719-4006 -98.1737 -16.9674
J1719-4302 -97.7922 -19.8686
J1720+00 -100.6838 23.7443
J1720+2150 -103.128 44.8217
J1720-0212 -100.447 20.8793
J1720-1633 -99.5436 6.5527
J1720-2446 -98.9905 -1.6435
J1720-2933 -98.6191 -6.4097
J1720-36 -98.0355 -13.7163
J1720-3659 -98.2061 -13.8301
J1721-1936 -99.1909 3.5149
J1721-1939 -99.0105 3.4773
J1721-2457 -98.816 -1.8096
J1721-3532 -97.9963 -12.3743
J1722+35 -104.7938 58.2537
J1722-3207 -98.1239 -8.9571
J1722-3632 -97.7992 -13.3646
J1722-3712 -97.5854 -14.0053
J1722-4400 -97.147 -20.8006
J1723-2837 -98.0628 -5.4491
J1723-2852 -97.9188 -5.6888
J1723-3659 -97.5713 -13.79
J1723-38 -97.5054 -15.1347
J1724-3149 -97.5662 -8.6097
J1724-35 -97.3203 -12.6013
J1724-3505 -97.3495 -11.8783
J1724-4500 -96.759 -21.7733
J1725-0732 -98.9562 15.6195
J1725-2852 -97.6569 -5.6647
J1725-3546 -97.1186 -12.5435
J1725-3848 -97.0686 -15.5852
J1725-3853 -96.9724 -15.654
J1725-4043 -96.8063 -17.4829
J1726-00 -99.1306 22.9233
J1726-31 -97.1612 -8.7181
J1726-3530 -97.0477 -12.2671
J1726-3635 -96.8357 -13.3533
J1726-4006 -96.6739 -16.8548
J1726-52 -95.957 -28.7363
J1727-1609 -97.7275 7.0392
J1727-2739 -97.2099 -4.4118
J1727-29 -97.1209 -6.7458
J1727-2946 -97.1469 -6.5405
J1727-2951 -97.1954 -6.6278
J1728-0007 -98.5431 23.0775
J1728-3733 -96.3805 -14.2857
J1728-4028 -96.2719 -17.2017
J1729-2117 -97.1804 1.9563
J1730-2304 -96.814 0.1889
J1730-2900 -96.5574 -5.7433
J1730-3350 -96.217 -10.5638
J1730-3353 -96.1335 -10.6092
J1730-34 -96.259 -11.523
J1731-1847 -96.8131 4.4773
J1731-3123 -96.2449 -8.113
J1731-33 -95.954 -10.5063
J1731-3322 -96.0942 -10.0919
J1731-4744 -95.219 -24.4322
J1732-1930 -96.5322 3.7802
J1732-3131 -95.905 -8.2243
J1732-3426 -95.8548 -11.137
J1732-35 -95.7428 -11.781
J1732-3729 -95.6537 -14.181
J1732-4128 -95.3504 -18.1668
J1732-4156 -95.33 -18.6279
J1732-5049 -94.8382 -27.4916
J1733-01 -97.2957 22.2685
J1733-2228 -96.1341 0.821
J1733-2533 -95.9947 -2.2519
J1733-2837 -95.8231 -5.32
J1733-3030 -95.6454 -7.2017
J1733-3322 -95.5268 -10.0532
J1733-3716 -95.4389 -13.968
J1733-4005 -95.1938 -16.7723
J1733-5515 -94.5251 -31.9278
J1734-0212 -96.7593 21.0805
J1734-2415 -95.767 -0.9428
J1734-2859 -95.71 -5.6876
J1734-3058 -95.437 -7.6575
J1734-3333 -95.4063 -10.2361
J1735+6320 -132.0818 85.8375
J1735-0243 -96.456 20.5738
J1735-0724 -96.4233 15.886
J1735-3258 -95.114 -9.6401
J1736+05 -96.5792 29.1075
J1736-2457 -95.2683 -1.6308
J1736-2819 -95.2085 -4.9956
J1736-2843 -95.1264 -5.3951
J1736-3422 -95.0432 -11.0324
J1736-3511 -94.9978 -11.8634
J1737-0314A -95.9546 20.0806
J1737-0314B -95.9536 20.0778
J1737-0314C -95.9536 20.0778
J1737-0314D -95.9536 20.0778
J1737-0314E -95.9536 20.0778
J1737-0811 -95.6953 15.1437
J1737-3102 -94.8482 -7.6885
J1737-3137 -94.9303 -8.2813
J1737-3320 -94.8384 -9.9954
J1737-3555 -94.6299 -12.5792
J1738+0333 -95.9051 26.8842
J1738+04 -96.077 27.6589
J1738-2330 -95.0085 -0.1687
J1738-2647 -94.8981 -3.4499
J1738-2736 -94.8316 -4.2591
J1738-2955 -94.6069 -6.5778
J1738-3107 -94.5794 -7.7739
J1738-3211 -94.5151 -8.8416
J1738-3316 -94.5447 -9.9123
J1739+0612 -95.916 29.541
J1739-1313 -94.9534 10.1314
J1739-2521 -94.6227 -2.0083
J1739-2903 -94.4853 -5.6908
J1739-3023 -94.4175 -7.0256
J1739-3049 -94.4615 -7.4683
J1739-3131 -94.4324 -8.1608
J1739-3159 -94.328 -8.6335
J1739-3951 -94.0731 -16.4994
J1740+1000 -95.7695 33.3431
J1740+1311 -96.0249 36.5345
J1740+27 -96.8294 50.5404
J1740-2540 -94.3388 -2.3051
J1740-3015 -94.2263 -6.8941
J1740-3052 -94.1472 -7.4975
J1740-3327 -94.1445 -10.0959
J1740-5340A -93.3005 -30.2939
J1740-5340B -93.3062 -30.2905
J1741+1351 -95.6353 37.2112
J1741+2758 -96.4025 51.3079
J1741+3855 -97.862 62.2305
J1741-0840 -94.7584 14.6869
J1741-2019 -94.4331 3.0433
J1741-2054 -94.2178 2.47
J1741-21 -94.4376 2.3661
J1741-2719 -94.0991 -3.9493
J1741-2733 -94.2162 -4.1943
J1741-2945 -94.0955 -6.3871
J1741-3016 -94.1055 -6.9032
J1741-34 -93.8053 -10.9371
J1741-3927 -93.7547 -16.0822
J1742-0203 -94.828 21.3139
J1742-3321 -93.8155 -9.9703
J1742-3957 -93.5828 -16.5726
J1742-4616 -93.2929 -22.8924
J1743+05 -94.7557 28.8536
J1743-0339 -94.47 19.7207
J1743-1351 -94.0295 9.5215
J1743-2442 -93.785 -1.3307
J1743-3150 -93.518 -8.4504
J1743-3153 -93.5923 -8.4977
J1743-35 -93.516 -12.1456
J1743-4212 -93.3078 -18.8099
J1744-1134 -93.8806 11.8052
J1744-1610 -93.8054 7.2108
J1744-2335 -93.48 -0.2052
J1744-3130 -93.4239 -8.1091
J1744-3922 -93.2065 -15.9776
J1744-5337 -92.6328 -30.2266
J1744-7619 -91.5664 -52.9032
J1745+1017 -94.2684 33.6837
J1745+1252 -94.3125 36.2632
J1745+42 -96.4665 66.2429
J1745-0129 -94.0315 21.8986
J1745-0952 -93.7611 13.5131
J1745-2229 -93.4006 0.9086
J1745-23 -93.3261 -0.0192
J1745-2758 -93.129 -4.5763
J1745-2900 -93.1478 -5.6082
J1745-2910 -93.2322 -5.7687
J1745-2912 -93.1148 -5.8077
J1745-3040 -93.0476 -7.2709
J1745-3812 -92.9951 -14.8011
J1746+2245 -94.6556 46.1408
J1746+2540 -94.777 49.0588
J1746-2849 -93.0671 -5.4349
J1746-2850 -93.055 -5.4425
J1746-2856 -92.8941 -5.5435
J1746-3239 -92.7896 -9.2579
J1747-1030 -93.0333 12.9062
J1747-2647 -92.7909 -3.3782
J1747-2802 -92.7796 -4.6346
J1747-2809 -92.791 -4.7454
J1747-2958 -92.776 -6.5583
J1747-4036 -92.4209 -17.2015
J1748-1300 -92.8998 10.3953
J1748-2021A -92.6103 3.0531
J1748-2021B -92.6093 3.0533
J1748-2021C -92.6162 3.049
J1748-2021D -92.6146 3.062
J1748-2021E -92.6099 3.0559
J1748-2021F -92.6117 3.0531
J1748-2444 -92.5415 -1.329
J1748-2446A -92.7159 -1.3658
J1748-2446C -92.7072 -1.3654
J1748-2446D -92.7062 -1.3679
J1748-2446E -92.7062 -1.3679
J1748-2446F -92.7062 -1.3679
J1748-2446G -92.7062 -1.3679
J1748-2446H -92.7062 -1.3679
J1748-2446I -92.7062 -1.3679
J1748-2446J -92.7062 -1.3679
J1748-2446K -92.7062 -1.3679
J1748-2446L -92.7062 -1.3679
J1748-2446M -92.7062 -1.3679
J1748-2446N -92.7062 -1.3679
J1748-2446O -92.7062 -1.3679
J1748-2446P -92.7062 -1.3679
J1748-2446Q -92.7062 -1.3679
J1748-2446R -92.7062 -1.3679
J1748-2446S -92.7062 -1.3679
J1748-2446T -92.7062 -1.3679
J1748-2446U -92.7062 -1.3679
J1748-2446V -92.7062 -1.3679
J1748-2446W -92.7062 -1.3679
J1748-2446X -92.7062 -1.3679
J1748-2446Y -92.7062 -1.3679
J1748-2446Z -92.7062 -1.3679
J1748-2446aa -92.7062 -1.3679
J1748-2446ab -92.7062 -1.3679
J1748-2446ac -92.7062 -1.3679
J1748-2446ad -92.7062 -1.3679
J1748-2446ae -92.7062 -1.3679
J1748-2446af -92.7062 -1.3679
J1748-2446ag -92.7062 -1.3679
J1748-2446ah -92.7062 -1.3679
J1748-2446ai -92.7062 -1.3679
J1748-2446aj -92.7054 -1.365
J1748-2446ak -92.7104 -1.366
J1748-2446al -92.7246 -1.3558
J1748-2446am -92.7061 -1.3685
J1748-2446an -92.703 -1.367
J1748-30 -92.6091 -6.8712
J1748-3009 -92.5257 -6.7393
J1749+16 -93.284 39.8093
J1749+5952 -101.1596 83.2147
J1749-2146 -92.4725 1.6412
J1749-2347 -92.4568 -0.3717
J1749-2629 -92.4226 -3.0696
J1749-3002 -92.3473 -6.6257
J1749-4931 -91.9157 -26.1114
J1749-5417 -91.7363 -30.868
J1749-5605 -91.6993 -32.6645
J1750+07 -92.6979 30.9674
J1750-2043 -92.269 2.7013
J1750-2438 -92.0462 -1.2261
J1750-2444 -92.184 -1.3253
J1750-2536 -92.1303 -2.1901
J1750-28 -92.1865 -5.3296
J1750-3157 -91.9755 -8.5388
J1750-3503 -91.9343 -11.6287
J1750-3703A -92.0056 -13.6308
J1750-3703B -92.0111 -13.6342
J1750-3703C -92.0068 -13.6293
J1750-3703D -92.008 -13.6295
J1751-2516 -91.8371 -1.8523
J1751-2737 -91.952 -4.1978
J1751-2857 -91.858 -5.5373
J1751-3323 -91.7916 -9.9682
J1751-4657 -91.5439 -23.5292
J1752+2359 -92.5015 47.4199
J1752-2410 -91.6014 -0.7444
J1752-2806 -91.5535 -4.6805
J1752-2821 -91.6762 -4.9245
J1753-12 -91.7629 10.4451
J1753-1914 -91.5178 4.1814
J1753-2240 -91.4616 0.7529
J1753-2501 -91.4709 -1.576
J1753-28 -91.5172 -5.4531
J1753-2819 -91.3392 -4.8928
J1753-38 -91.4141 -15.386
J1754+0032 -91.4052 24.0422
J1754+5201 -93.4405 75.4426
J1754-2422 -91.2277 -0.9398
J1754-3014 -91.1955 -6.8173
J1754-3443 -91.1266 -11.2976
J1754-3510 -91.0622 -11.744
J1755-0903 -91.2302 14.3698
J1755-1650 -91.1576 6.5897
J1755-2025 -91.0331 3.0187
J1755-2521 -90.9052 -1.9214
J1755-25211 -91.0575 -1.9175
J1755-2534 -90.9409 -2.1416
J1755-2550 -90.9819 -2.4039
J1755-26 -91.0635 -2.5651
J1755-2725 -90.9569 -3.9935
J1755-33 -91.0161 -10.0816
J1755-3716 -90.9034 -13.8338
J1756+1822 -91.1801 41.8175
J1756-2225 -90.826 1.0067
J1756-2251 -90.7424 0.5707
J1756-2435 -90.69 -1.1554
J1756-25 -90.7453 -2.0295
J1756-2619 -90.6006 -2.881
J1757-1500 -90.6804 8.4297
J1757-16 -90.6241 7.0045
J1757-1854 -90.6968 4.5366
J1757-2223 -90.4979 1.0414
J1757-2421 -90.572 -0.9307
J1757-2745 -90.463 -4.3227
J1757-5322 -90.4728 -29.9358
J1758+3030 -90.5741 53.9452
J1758-1931 -90.4503 3.9105
J1758-2206 -90.2917 1.3265
J1758-2540 -90.3309 -2.2414
J1758-2630 -90.3201 -3.0639
J1758-2846 -90.3837 -5.3285
J1759+5036 -90.1379 74.0551
J1759-1029 -90.108 12.9401
J1759-1736 -90.1271 5.8364
J1759-1903 -90.072 4.384
J1759-1940 -90.0116 3.7646
J1759-1956 -90.0965 3.5037
J1759-2205 -90.1384 1.3467
J1759-2302 -90.0413 0.4037
J1759-2307 -90.1113 0.3178
J1759-24 -90.137 -0.5941
J1759-2549 -90.0934 -2.3794
J1759-2922 -90.0429 -5.9294
J1759-3107 -90.1366 -7.6835
J1759-5505 -90.0724 -31.6527
J1800+5034 -89.5737 74.0117
J1800-0125 -89.9008 22.0141
J1800-2114 -89.9522 2.2007
J1800-2343 -90.0 -0.2774
J1801-0357 -89.6357 19.4734
J1801-0857A -89.5298 14.4797
J1801-0857B -89.53 14.4794
J1801-0857C -89.5293 14.4794
J1801-0857D -89.5096 14.4817
J1801-0857E -89.5298 14.4798
J1801-0857F -89.5293 14.4798
J1801-0857G -89.532 14.4808
J1801-0857H -89.5214 14.4737
J1801-0857I -89.5303 14.4796
J1801-1417 -89.5457 9.1456
J1801-1855 -89.6746 4.5086
J1801-1909 -89.5789 4.2786
J1801-2115 -89.6406 2.1838
J1801-2154 -89.7344 1.537
J1801-2304 -89.694 0.3599
J1801-2451 -89.773 -1.4186
J1801-2920 -89.6099 -5.9052
J1801-3210 -89.6936 -8.7427
J1801-3458 -89.6074 -11.5383
J1802+0128 -89.3228 24.9111
J1802+03 -89.2341 27.0708
J1802-0523 -89.4235 18.0468
J1802-1745 -89.4622 5.6835
J1802-2124 -89.5135 2.0374
J1802-2426 -89.533 -1.0068
J1802-3346 -89.3832 -10.3414
J1803+1358 -89.0276 37.4272
J1803-1616 -89.1346 7.1616
J1803-1857 -89.055 4.4807
J1803-1920 -89.1745 4.0921
J1803-2137 -89.1032 1.8176
J1803-2149 -89.2662 1.617
J1803-2712 -89.2138 -3.7649
J1803-3002A -89.2229 -6.597
J1803-3002B -89.2229 -6.597
J1803-3002C -89.2229 -6.597
J1803-3002D -89.2229 -6.597
J1803-3329 -89.2079 -10.0496
J1804-0735 -88.7554 15.8439
J1804-2228 -88.9673 0.9636
J1804-2717 -89.0309 -3.8564
J1804-28 -88.9381 -4.6818
J1804-2858 -89.1155 -5.5434
J1805+0306 -88.5576 26.5412
J1805+0615 -88.3675 29.6864
J1805-0619 -88.5639 17.1031
J1805-1504 -88.7553 8.3571
J1805-2032 -88.6832 2.8854
J1805-2037 -88.7186 2.8121
J1805-2447 -88.7668 -1.3582
J1805-2948 -88.754 -6.3669
J1806+1023 -87.967 33.8156
J1806+2819 -87.7185 51.7436
J1806-1154 -88.4738 11.5232
J1806-1618 -88.4453 7.1201
J1806-1920 -88.555 4.0919
J1806-2125 -88.5264 1.9657
J1807+04 -87.9147 27.5092
J1807+0756 -87.7223 31.3691
J1807-0847 -88.0508 14.631
J1807-2459A -88.3365 -1.5693
J1807-2459B -88.3346 -1.5719
J1807-2557 -88.3738 -2.5265
J1807-2715 -88.4093 -3.8214
J1808+00 -87.7243 23.9895
J1808-0813 -87.9084 15.2073
J1808-1020 -87.7881 13.0757
J1808-1517 -87.8926 8.129
J1808-1726 -87.9125 5.9827
J1808-2024 -87.9692 3.013
J1808-2057 -88.1059 2.4572
J1808-2701 -88.1657 -3.5963
J1808-3249 -88.2807 -9.3989
J1809+17 -87.1402 40.4834
J1809-0119 -87.3413 22.0918
J1809-0743 -87.5298 15.7017
J1809-1429 -87.609 8.9288
J1809-1850 -87.7167 4.5716
J1809-1917 -87.7008 4.126
J1809-1943 -87.677 3.6883
J1809-2004 -87.8209 3.3518
J1809-2109 -87.8443 2.2712
J1809-2332 -87.7454 -0.1196
J1809-3547 -88.0383 -12.3651
J1810+0705 -86.8945 30.5036
J1810+1744 -86.6405 41.152
J1810-1441 -87.3123 8.721
J1810-1709 -87.484 6.2589
J1810-1820 -87.3974 5.0704
J1810-2005 -87.417 3.329
J1810-5338 -88.1579 -30.2133
J1811+0702 -86.7357 30.4487
J1811-0154 -86.9568 21.5008
J1811-0624 -87.0639 17.0001
J1811-1049 -87.1607 12.594
J1811-1717 -87.2533 6.1156
J1811-1736 -87.1458 5.7993
J1811-1835 -87.2667 4.8165
J1811-1925 -87.2853 3.9878
J1811-2405 -87.414 -0.6746
J1811-2439 -87.2902 -1.2535
J1811-4930 -87.9302 -26.0871
J1812+0226 -86.4231 25.8485
J1812-15 -86.9359 7.8891
J1812-1718 -87.0908 6.1005
J1812-1733 -87.0616 5.8475
J1812-1910 -87.0212 4.2293
J1812-20 -87.0539 2.4387
J1812-2102 -87.1164 2.3651
J1812-2526 -87.1679 -2.0354
J1812-2748 -87.1888 -4.3925
J1812-3039 -87.2366 -7.2471
J1813+1822 -85.6582 41.7587
J1813+4013 -84.3179 63.6016
J1813-0402 -86.4099 19.3504
J1813-1246 -86.6767 10.6342
J1813-1749 -86.7514 5.5683
J1813-2113 -86.8134 2.1847
J1813-2242 -86.8897 0.7012
J1813-2621 -86.9328 -2.963
J1814+1130 -85.6045 34.8954
J1814+22 -85.1598 45.7613
J1814+31 -84.618 54.8718
J1814-0521 -86.2211 18.0317
J1814-0618 -86.1814 17.0901
J1814-1649 -86.4779 6.5702
J1814-1744 -86.4786 5.6476
J1815+5546 -78.7458 79.0649
J1815-1738 -86.3498 5.7558
J1815-1910 -86.4363 4.226
J1816+4510 -81.9993 68.5001
J1816-0755 -85.7842 15.4564
J1816-1446 -85.9694 8.6066
J1816-1729 -86.0902 5.8999
J1816-2650 -86.293 -3.4455
J1816-5643 -87.2752 -33.3283
J1817-0743 -85.4127 15.6464
J1817-1511 -85.7096 8.1796
J1817-1742 -85.8955 5.6779
J1817-1938 -85.9624 3.736
J1817-2311 -86.0937 0.1983
J1817-3618 -86.4668 -12.9144
J1817-3837 -86.5592 -15.2447
J1818-0151 -85.05 21.4951
J1818-1116 -85.3762 12.0906
J1818-1422 -85.4898 8.9904
J1818-1448 -85.4871 8.5564
J1818-1519 -85.558 8.0404
J1818-1541 -85.4771 7.6704
J1818-1556 -85.4267 7.43
J1818-1607 -85.6419 7.2398
J1819+1305 -83.9631 36.4225
J1819-0925 -84.9581 13.922
J1819-1008 -85.0285 13.2134
J1819-1114 -85.1148 12.1115
J1819-1131 -85.0022 11.828
J1819-1318 -85.126 10.0442
J1819-1408 -85.1012 9.2207
J1819-1458 -85.2227 8.3905
J1819-1510 -85.1506 8.1832
J1819-17 -85.3124 6.2767
J1819-1717 -85.2658 6.0705
J1819-37 -86.0981 -13.625
J1820-0427 -84.5 18.8792
J1820-0509 -84.6585 18.1842
J1820-1346 -84.9941 9.5801
J1820-1529 -84.969 7.8539
J1820-1818 -85.0798 5.0502
J1821+0155 -84.0177 25.2497
J1821+1715 -83.3227 40.5794
J1821+4147 -80.3064 65.0394
J1821-0256 -84.3595 20.3917
J1821-0331 -84.2316 19.8103
J1821-1419 -84.7097 9.0164
J1821-1432 -84.6959 8.7915
J1822+02 -83.9169 25.3232
J1822+0705 -83.5801 30.4037
J1822+1120 -83.3672 34.6603
J1822+2617 -82.1256 49.5747
J1822-0719 -84.204 15.9944
J1822-0848 -84.165 14.5072
J1822-0902 -84.2432 14.2767
J1822-0907 -84.2293 14.1992
J1822-1252 -84.3759 10.4483
J1822-1400 -84.3708 9.3268
J1822-1604 -84.6002 7.2607
J1822-1617 -84.5339 7.039
J1822-2256 -84.7101 0.392
J1822-4209 -85.6584 -18.7973
J1823+0550 -83.3003 29.1427
J1823-0154 -83.5924 21.4054
J1823-1115 -84.0647 12.0643
J1823-1126 -84.1577 11.8866
J1823-1347 -84.2387 9.524
J1823-1526 -84.3183 7.8847
J1823-1807 -84.4751 5.2025
J1823-3021A -84.8566 -7.0275
J1823-3021B -84.8528 -7.0279
J1823-3021C -84.8542 -7.0271
J1823-3021D -84.8565 -7.0285
J1823-3021E -84.8627 -7.039
J1823-3021F -84.8559 -7.0274
J1823-3021G -84.8557 -7.0263
J1823-3021H -84.8566 -7.0274
J1823-3106 -84.8653 -7.7804
J1823-3543 -85.1031 -12.4059
J1824+1014 -82.838 33.5342
J1824-0127 -83.2967 21.8303
J1824-0132 -83.2909 21.7543
J1824-0621 -83.6971 16.9409
J1824-1118 -83.8617 11.9971
J1824-1159 -83.7816 11.3066
J1824-1350 -83.8883 9.4685
J1824-1423 -83.8829 8.9221
J1824-1500 -84.0864 8.3058
J1824-1945 -84.3416 3.5539
J1824-2233 -84.4202 0.7693
J1824-2328 -84.3887 -0.1512
J1824-2452A -84.4353 -1.5488
J1824-2452B -84.4322 -1.549
J1824-2452C -84.4322 -1.549
J1824-2452D -84.4322 -1.549
J1824-2452E -84.4322 -1.549
J1824-2452F -84.4322 -1.549
J1824-2452G -84.4322 -1.549
J1824-2452H -84.4322 -1.549
J1824-2452I -84.4332 -1.5483
J1824-2452J -84.4322 -1.549
J1824-2452K -84.4322 -1.549
J1824-2452L -84.4322 -1.549
J1824-2452M -84.4308 -1.5483
J1824-2452N -84.431 -1.5493
J1824-2537 -84.4726 -2.3002
J1825+0004 -83.1198 23.3608
J1825-0319 -83.1127 19.9518
J1825-0935 -83.5269 13.7069
J1825-1108 -83.6508 12.1516
J1825-1446 -83.8778 8.5247
J1825-31 -84.3899 -7.7259
J1825-33 -84.4823 -10.0353
J1826-1131 -83.4717 11.7628
J1826-1256 -83.5254 10.35
J1826-1334 -83.5361 9.7127
J1826-1419 -83.4515 8.965
J1826-1526 -83.6246 7.8602
J1826-2415 -83.9389 -0.9657
J1827-0750 -83.0502 15.4376
J1827-0849 -82.9568 14.4424
J1827-0934 -82.9545 13.6985
J1827-0958 -83.1454 13.2996
J1827-1446 -83.3011 8.5056
J1828+0625 -81.8508 29.6575
J1828+1221 -81.4713 35.5853
J1828+1359 -81.1892 37.2118
J1828-0611 -82.6293 17.0605
J1828-1007 -82.7953 13.1418
J1828-1057 -82.8267 12.3042
J1828-1101 -82.8908 12.234
J1828-1336 -82.9235 9.6506
J1828-2119 -83.3943 1.9446
J1829+0000 -81.8923 23.2323
J1829+2456 -79.9324 48.1196
J1829+25 -80.1211 48.191
J1829-0734 -82.5113 15.6777
J1829-1011 -82.6489 13.0635
J1829-1751 -82.8981 5.4052
J1830-0052 -81.75 22.3394
J1830-0131 -81.8394 21.6947
J1830-10 -82.4221 12.5916
J1830-1059 -82.2672 12.2422
J1830-1135 -82.4912 11.6516
J1830-1313 -82.4134 10.0162
J1830-1414 -82.6392 9.0042
J1831-04 -81.8386 18.7367
J1831-0823 -81.9127 14.8278
J1831-0952 -82.0071 13.3534
J1831-1223 -82.2402 10.8374
J1831-1329 -82.1249 9.7224
J1831-1423 -82.2854 8.8326
J1832+0029 -81.0286 23.6748
J1832+27 -78.6551 51.0897
J1832-0644 -81.5292 16.4653
J1832-0827 -81.6581 14.7524
J1832-0836 -81.708 14.5907
J1832-1021 -81.756 12.8467
J1832-28 -82.847 -5.4789
J1833-0209 -81.1388 21.0306
J1833-0338 -81.0755 19.5275
J1833-0556 -81.2364 17.249
J1833-0559 -81.3754 17.2014
J1833-0827 -81.3894 14.7292
J1833-0831 -81.3757 14.6683
J1833-1034 -81.5477 12.6247
J1833-1055 -81.4656 12.2627
J1833-3840 -83.3112 -15.432
J1833-6023 -84.8618 -37.0933
J1834+10 -79.7935 33.868
J1834-0010 -80.6829 22.981
J1834-0031 -80.5545 22.6279
J1834-0426 -80.9355 18.7311
J1834-0602 -80.9876 17.1258
J1834-0633 -81.0583 16.6218
J1834-0731 -81.1777 15.659
J1834-0742 -81.1241 15.468
J1834-0812 -81.1622 14.9751
J1834-0845 -81.1036 14.4049
J1834-09 -81.2028 13.9255
J1834-1202 -81.4314 11.1433
J1834-1710 -81.6232 6.0054
J1834-1855 -81.7592 4.2579
J1835-0114 -80.4668 21.9045
J1835-0349 -80.6861 19.3357
J1835-0522 -80.8121 17.7907
J1835-0600 -80.8017 17.1576
J1835-0643 -80.9129 16.4445
J1835-0847 -80.8777 14.3677
J1835-0924 -80.9508 13.7524
J1835-09242 -81.0191 13.7597
J1835-0928 -81.0214 13.6969
J1835-0944 -80.9362 13.4174
J1835-0946 -80.9461 13.3816
J1835-1020 -80.9291 12.8221
J1835-1106 -81.1427 12.0638
J1835-15 -81.2811 7.5778
J1835-1548 -81.3098 7.3588
J1835-3259A -82.405 -9.7862
J1835-3259B -82.3998 -9.7867
J1836+51 -69.3448 73.7941
J1836+5925 -55.9302 81.7823
J1836-0436 -80.3079 18.5193
J1836-0517 -80.4717 17.8456
J1836-1008 -80.6794 13.0057
J1836-11 -80.9558 11.8731
J1836-1324 -80.9033 9.7393
J1836-2354A -81.6808 -0.7379
J1836-2354B -81.6846 -0.731
J1837+0033g -79.7066 23.6533
J1837+0053 -79.7375 23.9931
J1837+1221 -78.8518 35.4459
J1837-0045 -79.8465 22.3562
J1837-0559 -80.2672 17.1327
J1837-0604 -80.1874 17.0383
J1837-0653 -80.3687 16.2446
J1837-0822 -80.3654 14.7548
J1837-1243 -80.7882 10.4105
J1837-1837 -80.9958 4.5247
J1838+0022g -79.526 23.4576
J1838+0027g -79.5693 23.544
J1838+0044g -79.5561 23.8272
J1838+1523 -78.0384 38.428
J1838+1650 -77.8964 39.8712
J1838+50 -68.3738 73.5763
J1838-01 -79.607 22.076
J1838-0107 -79.5736 21.96
J1838-0453 -79.9806 18.2175
J1838-0537 -79.8401 17.4775
J1838-0549 -79.9327 17.2823
J1838-0624 -79.917 16.6849
J1838-0655 -80.1633 16.1891
J1838-1046 -80.3357 12.335
J1838-1849 -80.8539 4.3007
J1839-0141 -79.4946 21.3845
J1839-0223 -79.3214 20.6837
J1839-0321 -79.4875 19.7255
J1839-0332 -79.4188 19.5236
J1839-0402 -79.481 19.036
J1839-0436 -79.7479 18.477
J1839-0459 -79.5912 18.0816
J1839-0627 -79.7966 16.6322
J1839-0643 -79.8624 16.3662
J1839-0905 -79.849 14.0013
J1839-1238 -80.1459 10.4555
J1840+0012g -78.8833 23.2464
J1840+0214 -78.778 25.2936
J1840+5640 -59.3046 79.0307
J1840-0445 -79.2981 18.3093
J1840-0559 -79.4904 17.0839
J1840-0626 -79.5543 16.6373
J1840-0643 -79.6078 16.3512
J1840-0753 -79.5302 15.1772
J1840-0809 -79.6103 14.9233
J1840-0815 -79.7014 14.828
J1840-0840 -79.5709 14.3955
J1840-1122 -79.8871 11.7158
J1840-1207 -79.819 10.953
J1840-1419 -80.063 8.7718
J1841+0130 -78.642 24.5378
J1841+0912 -77.7462 32.1965
J1841-0157 -78.7622 21.066
J1841-0310 -78.9955 19.872
J1841-0345 -78.9908 19.2304
J1841-04 -79.195 18.2541
J1841-0425 -79.1842 18.6323
J1841-0456 -79.1651 18.1151
J1841-0500 -79.1758 18.0467
J1841-0524 -79.0721 17.6353
J1841-1404 -79.7953 8.9999
J1841-7845 -86.456 -55.4424
J1842+0257 -78.177 25.9704
J1842+0358 -78.1491 26.9819
J1842+0638 -77.9318 29.6362
J1842+1332 -77.1151 36.499
J1842-0153 -78.4815 21.1201
J1842-0309 -78.7603 19.8647
J1842-0359 -78.7964 19.0271
J1842-0415 -78.8842 18.7726
J1842-0612 -78.9037 16.8189
J1842-0800 -78.997 15.0156
J1842-0905 -79.2206 13.9521
J1842-27 -80.6969 -4.8714
J1842-39 -81.5333 -15.8688
J1843+0119 -78.0827 24.3157
J1843+2024 -75.9535 43.3264
J1843-0000 -78.1836 22.9831
J1843-0050 -78.2168 22.1583
J1843-0137 -78.3934 21.3756
J1843-0211 -78.3624 20.8169
J1843-0355 -78.6146 19.0819
J1843-0408 -78.4704 18.8684
J1843-0459 -78.611 18.019
J1843-0510 -78.7035 17.8492
J1843-0702 -78.802 15.9703
J1843-0744 -78.9302 15.2846
J1843-0806 -78.861 14.9075
J1843-1113 -79.0555 11.8
J1843-1448 -79.4955 8.2444
J1843-1507 -79.3888 7.9215
J1843-40 -81.4484 -17.4438
J1844+00 -77.9357 23.5612
J1844+0028g -77.832 23.4495
J1844+0115 -77.7396 24.2249
J1844+1454 -76.2212 37.8076
J1844+21 -75.5622 44.7395
J1844+41 -70.595 63.9709
J1844-0030 -77.8986 22.464
J1844-0244 -78.0803 20.2329
J1844-0256 -78.0614 20.0421
J1844-03 -78.0496 19.9743
J1844-0302 -78.2737 19.955
J1844-0310 -78.1159 19.8019
J1844-0346 -78.2231 19.21
J1844-0433 -78.2874 18.4341
